pin,r,g,b,total
0916,255,141,0,396
0917,255,154,0,409
0918,255,156,0,411
0919,255,145,0,400
0920,255,137,0,392
0921,255,141,0,396
0922,255,166,0,421
0923,255,158,0,413
0924,255,154,0,409
0925,255,142,0,397
0926,255,147,0,402
0927,255,157,0,412
0928,255,157,0,412
0929,255,148,0,403
0930,255,132,0,387
0931,255,30,0,285
0932,255,33,0,288
0933,255,73,0,328
0934,246,0,0,246
0935,255,12,0,267
0936,247,0,0,247
0937,255,32,0,287
0938,240,0,0,240
0939,255,5,0,260
0940,200,0,0,200
0941,238,0,0,238
0942,255,48,0,303
0943,255,12,0,267
0944,255,42,0,297
0945,255,46,0,301
0946,237,0,0,237
0947,210,0,0,210
0948,255,26,0,281
0949,221,0,0,221
0950,232,0,0,232
0951,255,11,0,266
0952,231,0,0,231
0953,242,0,0,242
0954,232,0,0,232
0955,255,31,0,286
0956,244,0,0,244
0957,255,37,0,292
0958,255,9,0,264
0959,255,18,0,273
0960,217,0,0,217
0961,210,0,0,210
0962,255,12,0,267
0963,255,20,0,275
0964,218,0,0,218
0965,250,0,0,250
0966,252,0,0,252
0967,239,0,0,239
0968,237,0,0,237
0969,255,35,0,290
0970,255,38,0,293
0971,236,0,0,236
0972,255,71,0,326
0973,255,16,0,271
0974,248,0,0,248
0975,226,0,0,226
0976,255,30,0,285
0977,255,48,0,303
0978,255,49,0,304
0979,255,104,0,359
0980,255,57,0,312
0981,255,27,0,282
0982,255,82,0,337
0983,244,0,0,244
0984,255,20,0,275
0985,255,70,0,325
0986,255,25,0,280
0987,255,255,8,518
0988,255,57,0,312
0989,255,48,0,303
0990,255,92,0,347
0991,255,24,0,279
0992,245,0,0,245
0993,248,0,0,248
0994,227,0,0,227
0995,255,24,0,279
0996,244,0,0,244
0997,255,35,0,290
0998,255,19,0,274
0999,255,98,0,353
1000,255,255,8,518
1001,255,242,0,497
1002,255,200,0,455
1003,255,202,0,457
1004,255,255,86,596
1005,255,192,0,447
1006,255,180,0,435
1007,255,214,0,469
1008,255,186,0,441
1009,255,192,0,447
1010,255,255,40,550
1011,255,215,0,470
1012,255,212,0,467
1013,255,198,0,453
1014,255,198,0,453
1015,255,187,0,442
1016,255,175,0,430
1017,255,189,0,444
1018,255,189,0,444
1019,255,188,0,443
1020,255,240,0,495
1021,255,197,0,452
1022,255,197,0,452
1023,255,227,0,482
1024,255,250,0,505
1025,255,212,0,467
1026,255,190,0,445
1027,255,198,0,453
1028,255,211,0,466
1029,255,234,0,489
1030,255,198,0,453
1031,255,192,0,447
1032,255,109,0,364
1033,255,98,0,353
1034,255,67,0,322
1035,255,100,0,355
1036,255,98,0,353
1037,255,95,0,350
1038,255,100,0,355
1039,255,27,0,282
1040,255,107,0,362
1041,255,104,0,359
1042,255,117,0,372
1043,255,75,0,330
1044,255,67,0,322
1045,255,62,0,317
1046,255,81,0,336
1047,255,89,0,344
1048,255,81,0,336
1049,255,57,0,312
1050,255,90,0,345
1051,255,76,0,331
1052,255,184,0,439
1053,255,82,0,337
1054,255,68,0,323
1055,255,88,0,343
1056,255,88,0,343
1057,255,93,0,348
1058,255,89,0,344
1059,255,51,0,306
1060,255,59,0,314
1061,255,45,0,300
1062,255,46,0,301
1063,255,79,0,334
1064,255,92,0,347
1065,255,81,0,336
1066,255,159,0,414
1067,255,96,0,351
1068,255,78,0,333
1069,255,106,0,361
1070,255,119,0,374
1071,255,81,0,336
1072,255,82,0,337
1073,255,81,0,336
1074,255,87,0,342
1075,255,74,0,329
1076,255,70,0,325
1077,255,88,0,343
1078,255,63,0,318
1079,255,92,0,347
1080,255,152,0,407
1081,255,64,0,319
1082,255,64,0,319
1083,255,91,0,346
1084,255,60,0,315
1085,255,49,0,304
1086,255,68,0,323
1087,255,74,0,329
1088,255,113,0,368
1089,255,70,0,325
1090,255,102,0,357
1091,255,59,0,314
1092,255,195,0,450
1093,255,48,0,303
1094,255,79,0,334
1095,255,66,0,321
1096,255,64,0,319
1097,255,32,0,287
1098,255,112,0,367
1099,255,66,0,321
1100,255,174,0,429
1101,255,197,0,452
1102,255,185,0,440
1103,255,190,0,445
1104,255,192,0,447
1105,255,184,0,439
1106,255,173,0,428
1107,255,176,0,431
1108,255,178,0,433
1109,255,171,0,426
1110,255,174,0,429
1111,255,255,223,733
1112,255,250,0,505
1113,255,204,0,459
1114,255,202,0,457
1115,255,192,0,447
1116,255,175,0,430
1117,255,192,0,447
1118,255,187,0,442
1119,255,192,0,447
1120,255,212,0,467
1121,255,233,0,488
1122,255,255,55,565
1123,255,255,0,510
1124,255,217,0,472
1125,255,213,0,468
1126,255,195,0,450
1127,255,193,0,448
1128,255,199,0,454
1129,255,190,0,445
1130,255,194,0,449
1131,255,106,0,361
1132,255,120,0,375
1133,255,198,0,453
1134,255,153,0,408
1135,255,107,0,362
